web-scraper-order,web-scraper-start-url,Title and Link,Title and Link-href,Price,Strike price,Rating,Badge,Page no,Discount,Ratings count,ASIN,Brand,Model or series,Sold by,Country of Origin,Manufacturer,Store name and link,Store name and link-href,Availability,ASIN2,Item weight
"1694094836-1","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","SAMSUNG T7 Shield 4TB, Portable SSD, up-to 1050MB/s, USB 3.2 Gen2, Rugged, IP65 Water & Dust Resistant, for Photographers, Content Creators and Gaming, Extenal Solid State Drive (MU-PE4T0S/AM), Black","https://www.amazon.com/SAMSUNG-Resistant-Photographers-MU-PE4T0S-AM/dp/B0BHZQGN26/ref=sr_1_86?qid=1694094822&s=electronics&sr=1-86","$239.99","$252.99","4.8 out of 5 stars","","4","-5%","7,590 ratings","‎B0BHZQGN26","SAMSUNG","‎T7 Shield 4TB","Amazon.com","‎Moldova, Republic of","‎SAMSUNG","Visit the SAMSUNG Store","https://www.amazon.com/stores/Samsung%C2%AE/page/F50AFABA-4CDE-4A95-84D0-CA4C61819FEB?ref_=ast_bln","In Stock","B0BHZQGN26","‎3.42 ounces"
"1694094845-2","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Nintendo Switch – OLED Model w/ White Joy-Con","https://www.amazon.com/Nintendo-Switch-OLED-Model-White-Joy/dp/B098RKWHHZ/ref=sr_1_85?qid=1694094822&s=electronics&sr=1-85","$349.00","$349.00","4.8 out of 5 stars","","4","-8%","32,054 ratings","B098RKWHHZ","","HEG-S-KAAAA","KART IT","","Nintendo","Visit the Nintendo Store","https://www.amazon.com/stores/Nintendo/page/BE0EB5D0-0AD6-4564-8BC5-4A129A3A9CFD?ref_=ast_bln","Only 2 left in stock - order soon","B098RKWHHZ","3.09 pounds"
"1694094853-3","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 64XL Tri-color High-yield Ink Cartridge | Works with HP ENVY Inspire 7950e; ENVY Photo 6200, 7100, 7800; Tango Series | Eligible for Instant Ink | N9J91AN","https://www.amazon.com/HP-Tri-Color-Original-Cartridge-N9J91AN/dp/B0722C491T/ref=sr_1_84?qid=1694094822&s=electronics&sr=1-84","$49.89","","4.7 out of 5 stars","","4","","16,536 ratings","B0722C491T","HP","HP 64XL | Ink Cartridge | Tri-Color | N9J91AN","Total Office Solutions","","HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","B0722C491T","1.6 ounces"
"1694094860-4","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","TOZO T6 True Wireless Earbuds Bluetooth 5.3 Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass Black","https://www.amazon.com/TOZO-T6-Bluetooth-Headphones-Waterproof/dp/B07RGZ5NKS/ref=sr_1_83?qid=1694094822&s=electronics&sr=1-83","$20.99","$39.99","4.4 out of 5 stars","","4","-48%","253,368 ratings","B07RGZ5NKS","TOZO","TOZO T6","Worgo","China","TOZO","Visit the TOZO Store","https://www.amazon.com/stores/TOZO/page/71763562-B03C-49A4-986C-306EC684FD90?ref_=ast_bln","In Stock","B07RGZ5NKS","0.176 ounces"
"1694094867-5","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black","https://www.amazon.com/Amazon-Basics-microSDXC-Memory-Adapter/dp/B08TJRVWV1/ref=sr_1_82?qid=1694094822&s=electronics&sr=1-82","$12.42","$17.10","4.7 out of 5 stars","","4","-27%","48,961 ratings","‎B08TJRVWV1","Amazon Basics","‎LSMICRO128GU3","Amazon.com","‎Taiwan","‎Amazon","Visit the Amazon Basics Store","https://www.amazon.com/stores/AmazonBasics/page/947C6949-CF8E-4BD3-914A-B411DD3E4433?ref_=ast_bln","In Stock","B08TJRVWV1","‎0.01 ounces"
"1694094873-6","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","RORSOU R10 Kids Headphones with Microphone, Lightweight Folding Stereo Bass Headphones with 1.5M No-Tangle Cord, Portable Wired Headphones for Smartphone Tablet Computer MP3 / 4 (Black)","https://www.amazon.com/RORSOU-R10-Headphones-Microphone-Lightweight/dp/B094NC89P9/ref=sr_1_81?qid=1694094822&s=electronics&sr=1-81","$16.99","$24.99","4.5 out of 5 stars","Best Seller","4","-32%","7,795 ratings","B094NC89P9","RORSOU","R10","RORSOU","","RORSOU","Visit the RORSOU Store","https://www.amazon.com/stores/RORSOU/page/E06C31C4-115A-4656-8897-9670330D038B?ref_=ast_bln","In Stock","B094NC89P9","7.6 ounces"
"1694094879-7","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Texas Instruments TI-Nspire CX II CAS Color Graphing Calculator with Student Software (PC/Mac) 320 x 240 pixels (3.2"" diagonal)","https://www.amazon.com/Texas-Instruments-TI-Nspire-Graphing-Calculator/dp/B07RL7HM5V/ref=sr_1_80?qid=1694094822&s=electronics&sr=1-80","$148.29","$175.00","4.8 out of 5 stars","","4","-15%","7,360 ratings","B07RL7HM5V","Brand: Texas Instruments","NSCXCAS2/TBL/2L1/A","Amazon.com","Philippines","Texas Instruments","","","In Stock","","12.6 ounces"
"1694094885-8","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","HP 65 Black Ink Cartridge | Works with HP AMP 100 Series, HP DeskJet 2600, 3700 Series, HP ENVY 5000 Series | Eligible for Instant Ink | N9K02AN","https://www.amazon.com/HP-Original-Cartridge-N9K02AN-DeskJet/dp/B01BYKUI9C/ref=sr_1_79?qid=1694094822&s=electronics&sr=1-79","$16.89","","4.7 out of 5 stars","","4","","87,603 ratings","B01BYKUI9C","","N9K02AN","Total Office Solutions","","HP","Visit the HP Store","https://www.amazon.com/stores/HP/page/5BA42671-3E42-4AEB-B9E4-272F10DD0121?ref_=ast_bln","In Stock","B01BYKUI9C","1.44 ounces"
"1694094891-9","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","NexiGo N60 1080P Webcam with Microphone, Adjustable FOV, Zoom, Software Control & Privacy Cover, USB HD Computer Web Camera, Plug and Play, for Zoom/Skype/Teams, Conferencing and Video Calling","https://www.amazon.com/Microphone-NexiGo-Computer-110-degree-Conferencing/dp/B088TSR6YJ/ref=sr_1_78?qid=1694094822&s=electronics&sr=1-78","$39.99","$49.99","4.4 out of 5 stars","","4","-20%","41,589 ratings","B088TSR6YJ","NexiGo","N60","NexiGo USA","‎USA","","Visit the NexiGo Store","https://www.amazon.com/stores/NexiGo/page/4DA8AC05-54D2-4795-A923-E3FA9CC54A3D?ref_=ast_bln","In Stock","B088TSR6YJ","‎5.6 ounces"
"1694094897-10","https://www.amazon.com/s?rh=n%3A16225009011&fs=true&ref=lp_16225009011_sar","Emart Backdrop Stand 10x7ft(WxH) Photo Studio Adjustable Background Stand Support Kit with 2 Crossbars, 8 Backdrop Clamps, 2 Sandbags and Carrying Bag for Parties Wedding Events Decoration","https://www.amazon.com/Studio-Adjustable-Background-Backdrop-Support/dp/B00MTF6ZVC/ref=sr_1_77?qid=1694094822&s=electronics&sr=1-77","$39.49","$49.99","4.5 out of 5 stars","Best Seller","4","-21%","33,263 ratings","B00MTF6ZVC","EMART","EM-BS2030","EMARTUS","China","Emartinc","Visit the EMART Store","https://www.amazon.com/stores/EMART/page/D6803BFF-2A3A-4596-AC6B-C37381497BAE?ref_=ast_bln","In Stock","B00MTF6ZVC","6.7 pounds"
