web-scraper-order,web-scraper-start-url,Product name,author,title,date,content,rating,Page no next,Next Page,Next Page-href
"1693623535-1","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Justin Thurston","Good product with stupid packaging.","Reviewed in the United States on July 28, 2023","I opened these, and looked at the back for directions. I saw what appeared to be directions saying the easy install clip could easily slide on most types types of wipers, and a QR code to watch a video if I found the task too challenging.

I slid the wipers on, and it was easy and quick. Very cool design! I thought my task was complete. 200 miles later, I realized I made mistake of forgetting to remove the protective plastic cover.

You are probably assuming I am just an idiot - which might be true. However, every wiper blade I have bought in my life has had no cover, or a cheap, clear plastic cover that went around the blade. This cover is a soft, hoity toity yellow plastic. At first, I did think it was a removable cover, but I thoroughly inspected it to make sure. After feeling the quality of the material, and noticing that there is a special groove cut into the blade that this insert slides into, I thought, ""Given this level of care and craftsmanship, it is surely an integral part of the blade - it must be where the Rain-X power comes from! The distinctive yellow color is telling me that this is not just something to be thrown away!""

I sprayed wiper fluid on my windshield, with covers intact, and it worked! It wasn't an amazing clean, but was about as good as my old blade I replaced. I guess the Rain-X fluid must have washed off the blade a bit and landed on the windshield enough to give me some visibility. I have driven for the better part of a week, including through a rain storm, and these damn covers did not fall off, and allowed me to see.

To add insult to injury, when I finally pulled off the covers, the hidden part recessed within the body of the wiper blade read ""remove cover before using"".","4.0 out of 5 stars","2","",""
"1693623535-2","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Honestreview","The Best...","Reviewed in the United States on August 27, 2023","Cannot go wrong with these wipers. They hug your windshield glass for a total and clean wipe, unlike the cheap ridged ones that leave streaks across your windshield. Depending on your amount of driving, they will last a year or two. If you would like to extend their life, Just take a paper towel with vinegar and clean the black grime buildup, and they will last even longer. Once I tried these, there is no way I will go back to regular wipe blades.","5.0 out of 5 stars","2","",""
"1693623535-3","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Dani and Christopher","The beads of water are magical","Reviewed in the United States on August 30, 2023","The wipers are great but the real magic is the beads of water! The wipers have some sort of product on them that causes the water to bead up and it makes it so you barely need to use the wipers.

If I could change one thing, I'd make the rectangular part of the wiper, where it attaches, smaller. It doesn't obstruct my vision but I notice it while I'm driving.","5.0 out of 5 stars","2","",""
"1693623535-4","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Justen Kessman","Easy to install work great","Reviewed in the United States on August 29, 2023","These were a great replacement for my old wiper blades. The old ones would streak and leave the window fogged/cloudy for a few seconds after each pass which made it even harder to see during heavy rain. These solved that problem, and installation took less than 5 minutes","5.0 out of 5 stars","2","",""
"1693623535-5","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Dhoward","These are best on the market","Reviewed in the United States on August 27, 2023","The is the second set I bought for a different vehicle. I’ve had no pro problems with the blades or the rain x  solution on the wipers. They continue to out preform any other blade. The fit different types of vehicles so make sure you choose the right ones. Highly recommend","5.0 out of 5 stars","2","",""
"1693623535-6","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","BSK","These are really great wipers.","Reviewed in the United States on August 23, 2023","Bought these wipers to replace the worn ones on my Tahoe. They were very easy to install and worked great. Keeps windshield clear even during a torrential downpour. The quality and price was very good. They are very sturdy, not flimsy like some wipers.  I will definitely purchase this brand again when I require new wipers again.","5.0 out of 5 stars","2","",""
"1693623535-7","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Crissy Pence","Best wipers we’ve ever owned!","Reviewed in the United States on August 13, 2023","My boyfriend was upset I bought wipers without his opinion of what to get until we received them and used them. Now… he’s super happy and thinks they are the best wipers on planet Earth so I told him to have faith in my decisions from here on out. They have this bead technology that is out of this world and makes it so much easier to see when it’s raining. They came in a pack of two, they were affordable, Amazon ships fast… like, you won’t regret this purchase! A+","5.0 out of 5 stars","2","",""
"1693623535-8","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Love My GSD","VERY VERY DIFFICULT to install.....","Reviewed in the United States on July 25, 2023","I had started a return on this and the 17 inch Rain x blades  I'd bought because I couldn't get the latch/lock to close over the J hook on the arm----turns out the blade must be pulled so darn hard into the J hook you feel as if you're going to break/damage the new blade--i finally managed to get both blades on & locked....I wonder what they'll be like to get off when time comes to replace them......I can't speak to longevity obviously---but would I recommend these Rain X blades ??......NOPE

This is a edit----I think it needs mentioning that the car I was attempting this install on--- is a 2015 Subaru Forester----every one may not have my issues on their own vehicle...","4.0 out of 5 stars","2","",""
"1693623535-9","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","James S.","Easy to install, work great","Reviewed in the United States on August 12, 2023","So far I like  everything about these wiper blades.
The only question is how long they will last. This is my first time using them and I bought them to replace another brand I found on Amazon, used 2 sets, each lasting a year or so, but now are no longer available. If these don't last I'll be sure to update my review, but I feel like they will.","5.0 out of 5 stars","2","",""
"1693623535-10","https://www.amazon.com/Rain-X-Latitude-Water-Repellency-Wiper/product-reviews/B084CT24NM/","Rain-X - 810165 Latitude Water Repellency Wiper Blade, 22 Inch - 2 Pack","Jon V","Decent","Reviewed in the United States on August 23, 2023","Cheaper than getting them at a store and paying to have them put on. They work well, but they did leave a black streak on the windshield after installing and running them dry on the windshield (per instructions), however that washed away after the first rain","4.0 out of 5 stars","2","",""
